Code,smiles,MW,LogP,NumHDonors,NumHAcceptors
CHAL,O=C(/C=C/c1cccc(O)c1)c1cccc(O)c1,240.258,2.993900000000001,2.0,3.0
CHAL,Cc1ccc(/C=C/C(=O)c2ccccc2)cc1,222.28700000000003,3.8911200000000026,0.0,1.0
CHAL,NCc1ccc(/C=C/C(=O)c2ccccc2)cc1,237.302,3.041400000000001,1.0,2.0
CHAL,O=C(/C=C/c1ccc(F)cc1)c1ccccc1,226.25000000000003,3.7218000000000027,0.0,1.0
CHAL,O=C(/C=C/c1ccc(N(O)O)cc1)c1ccc(N(O)O)cc1,302.28600000000006,2.752300000000001,4.0,7.0
CHAL,COc1ccc(C(=O)/C=C/c2ccccc2)cc1,238.28600000000003,3.591300000000002,0.0,2.0
CHAL,O=C(/C=C/c1ccccc1)c1ccc(F)cc1,226.25,3.7218000000000018,0.0,1.0
CHAL,O=C(/C=C\c1ccc(Cl)cc1Cl)c1ccc(O)c(/N=N\c2ccc(Cl)c(Cl)c2)c1,466.1510000000002,8.317300000000001,1.0,4.0
CHAL,O=C(/C=C/c1ccco1)c1ccc(/N=N\c2c(O)cccc2O)cc1,334.331,5.002300000000004,2.0,6.0
CHAL,O=C(/C=C/c1c(O)ccc2ccccc12)c1ccc(/N=N/c2c(O)cccc2O)cc1,410.4290000000001,6.268100000000006,3.0,6.0
CHAL,O=C(/C=C/c1ccc(Cl)cc1Cl)c1ccc(/N=N/c2c(O)cccc2O)cc1,413.2600000000001,6.716100000000005,2.0,5.0
CHAL,COc1cc(Cl)c(/C=C/C(=O)c2ccc(/N=N/c3c(O)cccc3O)cc2)cc1Br,487.73700000000014,6.833800000000005,2.0,6.0
CHAL,O=C(/C=C/c1cc2ccccc2nc1Cl)c1ccc(/N=N/c2cccc(Cl)c2Cl)c(O)c1,482.75400000000013,8.212100000000001,1.0,5.0
CHAL,O=C(/C=C/C=C/c1ccccc1)c1ccc(/N=N/c2cccc(Cl)c2Cl)c(O)c1,423.2990000000001,7.566700000000004,1.0,4.0
CHAL,O=C(/C=C/c1ccc(Cl)cc1Cl)c1ccc(/N=N/c2ccc(N(O)O)cc2Cl)c(O)c1,478.71900000000016,7.248700000000004,3.0,7.0
CHAL,NC(=O)C1C=C(c2ccccc2)CC1c1ccccc1,263.34,3.3590000000000027,1.0,1.0
CHAL,COc1ccc(COc2cccc(/C=C/C(=O)c3nc4ccccc4[nH]3)c2)cc1,384.43500000000006,5.046600000000004,1.0,4.0
CHAL,COc1cc(/C=C/C(=O)c2ccc(O)cc2O)c(Br)c(OC)c1,379.2060000000001,3.773600000000002,2.0,5.0
CHAL,O=C(/C=C/c1c[nH]c2ccc(O)cc12)c1ccc(Br)cc1Br,421.088,5.294600000000003,2.0,2.0
CHAL,COc1ccc(/C=C/C(=O)c2cn(-c3ccc(F)cc3)nc2C(=O)/C=C/c2ccc(OC)cc2)cc1,482.5110000000002,5.8208000000000055,0.0,6.0
CHAL,Cc1ccc(C(=O)/C=C/c2ccccn2)c(O)c1CN1CCOCC1,338.4070000000002,2.82392,1.0,5.0
